,Precision,Recall,,
0,0.45320197,0.989247312,,0.5
0.01,0.45320197,0.989247312,,
0.02,0.45320197,0.989247312,,
0.03,0.45320197,0.989247312,,
0.04,0.45320197,0.989247312,,
0.05,0.45320197,0.989247312,,
0.06,0.45320197,0.989247312,,
0.07,0.45320197,0.989247312,,
0.08,0.45320197,0.989247312,,
0.09,0.45320197,0.989247312,,
0.1,0.45320197,0.989247312,,
0.11,0.45320197,0.989247312,,
0.12,0.45320197,0.989247312,,
0.13,0.45320197,0.989247312,,
0.14,0.45320197,0.989247312,,
0.15,0.45320197,0.989247312,,
0.16,0.45320197,0.989247312,,
0.17,0.45049505,0.989130435,,
0.18,0.445,0.988888889,,
0.19,0.447236181,0.978021978,,
0.2,0.447236181,0.978021978,,
0.21,0.441624365,0.97752809,,
0.22,0.431578947,0.953488372,,
0.23,0.438502674,0.921348315,,
0.24,0.426229508,0.917647059,,
0.25,0.413793103,0.87804878,,
0.26,0.402439024,0.825,,
0.27,0.394904459,0.784810127,,
0.28,0.377483444,0.76,,
0.29,0.37414966,0.733333333,,
0.3,0.356643357,0.718309859,,
0.31,0.35,0.7,,
0.32,0.348484848,0.638888889,,
0.33,0.330708661,0.608695652,,
0.34,0.330578512,0.563380282,,
0.35,0.309734513,0.507246377,,
0.36,0.296296296,0.470588235,,
0.37,0.25,0.403225806,,
0.38,0.23655914,0.349206349,,
0.39,0.214285714,0.28125,,
0.4,0.197530864,0.253968254,,
0.41,0.205128205,0.242424242,,
0.42,0.202702703,0.220588235,,
0.43,0.194444444,0.205882353,,
0.44,0.161764706,0.166666667,,
0.45,0.166666667,0.161764706,,
0.46,0.169230769,0.15942029,,
0.47,0.174603175,0.154929577,,
0.48,0.180327869,0.150684932,,
0.49,0.180327869,0.150684932,,
0.5,0.186440678,0.146666667,,
0.51,0.189655172,0.144736842,,
0.52,0.192982456,0.142857143,,
0.53,0.192982456,0.142857143,,
0.54,0.178571429,0.131578947,,
0.55,0.185185185,0.128205128,,
0.56,0.185185185,0.128205128,,
0.57,0.188679245,0.126582278,,
0.58,0.192307692,0.125,,
0.59,0.204081633,0.120481928,,
0.6,0.195652174,0.107142857,,
0.61,0.2,0.105882353,,
0.62,0.204545455,0.104651163,,
0.63,0.19047619,0.093023256,,
0.64,0.19047619,0.093023256,,
0.65,0.19047619,0.093023256,,
0.66,0.19047619,0.093023256,,
0.67,0.19047619,0.093023256,,
0.68,0.170731707,0.082352941,,
0.69,0.170731707,0.082352941,,
0.7,0.175,0.081395349,,
0.71,0.175,0.081395349,,
0.72,0.179487179,0.08045977,,
0.73,0.166666667,0.068181818,,
0.74,0.147058824,0.056818182,,
0.75,0.125,0.045454545,,
0.76,0.142857143,0.043478261,,
0.77,0.16,0.042105263,,
0.78,0.130434783,0.031578947,,
0.79,0.136363636,0.03125,,
0.8,0.136363636,0.03125,,
0.81,0.136363636,0.03125,,
0.82,0.111111111,0.020408163,,
0.83,0.0625,0.010204082,,
0.84,0.083333333,0.009803922,,
0.85,0.1,0.009615385,,
0.86,0.1,0.009615385,,
0.87,0.142857143,0.009345794,,
0.88,0.166666667,0.009259259,,
0.89,0.166666667,0.009259259,,
0.9,0.2,0.009174312,,
0.91,0.25,0.009090909,,
0.92,0.333333333,0.009009009,,
0.93,0.333333333,0.009009009,,
0.94,0.5,0.008928571,,
0.95,0.5,0.008928571,,
0.96,0.5,0.008928571,,
0.97,0.5,0.008928571,,
0.98,0.5,0.008928571,,
0.99,0.5,0.008928571,,
